Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A758197,Bella,9/12/2017 16:24,9/12/2017 16:24,9218 Balcones Club Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Yorkshire Terrier/Pomeranian,Red
A758198,Domino,9/12/2017 16:25,9/12/2017 16:25,Drayton Drive And Braker in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Bull Terrier Mix,Black/White
A758206,,9/12/2017 16:59,9/12/2017 16:59,Cullen And Slaughter Lane in Austin (TX),Stray,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Orange Tabby/White
A758207,,9/12/2017 16:59,9/12/2017 16:59,Cullen And Slaughter Lane in Austin (TX),Stray,Normal,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Torbie/White
A758204,*Emily,9/12/2017 16:59,9/12/2017 16:59,Cullen And Slaughter Lane in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Torbie/White
A758202,252,9/12/2017 17:04,9/12/2017 17:04,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,1 year,Pug Mix,Tan
A758208,*Shetara,9/12/2017 17:32,9/12/2017 17:32,202 Pecan Dr in Austin (TX),Stray,Sick,Cat,Intact Female,5 years,Domestic Shorthair Mix,Brown Tabby
A734788,Bagheera,9/12/2017 17:57,9/12/2017 17:57,Leander (TX),Owner Surrender,Normal,Cat,Neutered Male,1 year,Domestic Longhair Mix,Black
A758210,Muneca,9/12/2017 18:33,9/12/2017 18:33,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,9 months,Anatol Shepherd Mix,White/Brown Brindle
A758211,Morena,9/12/2017 18:33,9/12/2017 18:33,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,6 months,Anatol Shepherd Mix,Brown Brindle/White
A758212,Ghost,9/12/2017 18:34,9/12/2017 18:34,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,4 years,Pit Bull Mix,White/Black
A758217,,9/12/2017 18:57,9/12/2017 18:57,3235 E Martin Luther King Jr Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Calico
A758221,*Deb,9/12/2017 18:57,9/12/2017 18:57,3235 E Martin Luther King Jr Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby
A758218,,9/12/2017 18:57,9/12/2017 18:57,3235 E Martin Luther King Jr Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby
A758216,,9/12/2017 18:57,9/12/2017 18:57,3235 E Martin Luther King Jr Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,Calico
A758220,,9/12/2017 18:57,9/12/2017 18:57,3235 E Martin Luther King Jr Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A758222,*Jeb,9/12/2017 18:57,9/12/2017 18:57,3235 E Martin Luther King Jr Blvd in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair Mix,Orange Tabby
A758219,,9/12/2017 18:57,9/12/2017 18:57,3235 E Martin Luther King Jr Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,White/Orange Tabby
A758215,,9/12/2017 18:57,9/12/2017 18:57,3235 E Martin Luther King Jr Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Calico
A758213,,9/12/2017 18:58,9/12/2017 18:58,1707 Kerr St in Austin (TX),Wildlife,Sick,Other,Unknown,6 months,Raccoon Mix,Black/Gray
A569057,Marisol,9/13/2017 6:57,9/13/2017 6:57,Holy St & Robert T Martinez in Austin (TX),Stray,Normal,Dog,Spayed Female,8 years,Pit Bull Mix,White/Brown Brindle
A758230,,9/13/2017 7:39,9/13/2017 7:39,Del Valle (TX),Stray,Nursing,Dog,Intact Female,1 day,Labrador Retriever Mix,Brown/Black
A758232,Manana,9/13/2017 7:39,9/13/2017 7:39,Del Valle (TX),Stray,Nursing,Dog,Intact Female,1 day,Labrador Retriever Mix,Brown/Black
A758225,,9/13/2017 7:39,9/13/2017 7:39,Del Valle (TX),Stray,Nursing,Dog,Unknown,1 day,Labrador Retriever Mix,Tan
A758227,,9/13/2017 7:39,9/13/2017 7:39,Del Valle (TX),Stray,Nursing,Dog,Intact Male,1 day,Labrador Retriever Mix,Fawn/White
A758224,Arya,9/13/2017 7:39,9/13/2017 7:39,Del Valle (TX),Stray,Nursing,Dog,Intact Female,1 day,Labrador Retriever Mix,Black/Brown
A758226,,9/13/2017 7:39,9/13/2017 7:39,Del Valle (TX),Stray,Nursing,Dog,Intact Male,1 day,Labrador Retriever Mix,Brown/White
A758231,Laika,9/13/2017 7:39,9/13/2017 7:39,Del Valle (TX),Stray,Nursing,Dog,Intact Female,1 day,Labrador Retriever Mix,Brown/Black
A758229,,9/13/2017 7:39,9/13/2017 7:39,Del Valle (TX),Stray,Nursing,Dog,Intact Female,1 day,Labrador Retriever Mix,Brown
A758237,,9/13/2017 10:18,9/13/2017 10:18,2506 Perkins Drive in Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,American Shorthair Mix,Black
A758244,,9/13/2017 10:18,9/13/2017 10:18,2506 Perkins Drive in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,American Shorthair Mix,Black
A758241,,9/13/2017 10:18,9/13/2017 10:18,2506 Perkins Drive in Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,American Shorthair Mix,Black
A758248,,9/13/2017 10:18,9/13/2017 10:18,2506 Perkins Drive in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,American Shorthair Mix,Blue
A758246,,9/13/2017 10:18,9/13/2017 10:18,2506 Perkins Drive in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,American Curl Shorthair Mix,Black
A758243,,9/13/2017 10:18,9/13/2017 10:18,2506 Perkins Drive in Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,American Shorthair Mix,Black
A758238,,9/13/2017 10:32,9/13/2017 10:32,2506 Perkins Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A758240,,9/13/2017 10:32,9/13/2017 10:32,2506 Perkins Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A758239,,9/13/2017 10:32,9/13/2017 10:32,2506 Perkins Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A758242,,9/13/2017 10:32,9/13/2017 10:32,2506 Perkins Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Brown Tabby
A758236,,9/13/2017 10:32,9/13/2017 10:32,2506 Perkins Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/Silver
A758245,,9/13/2017 10:48,9/13/2017 10:48,4534 Westgate in Austin (TX),Stray,Sick,Cat,Intact Male,4 months,Domestic Shorthair Mix,Black
A758234,*Sky,9/13/2017 11:06,9/13/2017 11:06,Pflugerville (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Labrador Retriever,Yellow
A758252,,9/13/2017 11:23,9/13/2017 11:23,Banister And Ben White in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Parson Russell Terrier Mix,White
A578738,Snoopy,9/13/2017 11:27,9/13/2017 11:27,6900 Escarpment Blvd in Austin (TX),Stray,Normal,Dog,Neutered Male,7 years,Pit Bull,White/Black
A724816,Rey,9/13/2017 11:39,9/13/2017 11:39,Cedar Park (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,Red/White
A757221,*Snert,9/13/2017 11:50,9/13/2017 11:50,Austin (TX),Public Assist,Normal,Dog,Neutered Male,2 years,Norfolk Terrier Mix,Tan/Black
A757240,Sam,9/13/2017 12:12,9/13/2017 12:12,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby
A758259,Coco,9/13/2017 12:21,9/13/2017 12:21,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,8 years,Pomeranian Mix,Brown/White
A758256,Buster,9/13/2017 12:21,9/13/2017 12:21,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White
A755800,*Mika,9/13/2017 12:23,9/13/2017 12:23,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White
A758257,*Cosmo,9/13/2017 12:29,9/13/2017 12:29,Austin (TX),Owner Surrender,Normal,Other,Intact Male,5 months,Dutch/Angora-Satin,Black/White
A758258,Yuri,9/13/2017 12:35,9/13/2017 12:35,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,7 months,Labrador Retriever Mix,Brown/White
A758260,Brian,9/13/2017 12:43,9/13/2017 12:43,Austin (TX),Public Assist,Normal,Dog,Intact Male,6 months,Labrador Retriever Mix,Black
A758265,,9/13/2017 12:46,9/13/2017 12:46,1201 Barbara Jordan Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Labrador Retriever Mix,White/Black
