Address,Latitude,Longitude,Pet at Home,Animal Type,Vet Count,Intakes within Radius
"2300 North Loop,Austin,TX",30.3262248,-97.742453,True,Cat,22.0,16.0
"1501 Fm973,Austin,TX",30.2221922,-97.6339084,True,Dog,0.0,8.0
"727 Decker Prairie,Austin,TX",30.156015,-97.814656,True,Cat,9.0,19.0
"7604 Bell Flower Cove,Austin,TX",30.4190681,-97.7770444,True,Cat,7.0,11.0
"6207 Vera Ln,Austin,TX",30.238313,-97.69588399999999,True,Dog,1.0,68.0
"4106 N Lamar Blvd,Austin,TX",30.3094917,-97.74074990000001,True,Dog,19.0,26.0
"3611 Leafield,Austin,TX",30.2022124,-97.83968519999999,True,Cat,11.0,24.0
"3702 Soujourer Street,Austin,TX",30.238401,-97.59034349999999,True,Dog,0.0,18.0
"1307 Kinney Ave,Austin,TX",30.2545183,-97.7658792,True,Dog,19.0,37.0
"8528 Cornwall Dr,Austin,TX",30.1785148,-97.8002382,True,Cat,8.0,35.0
"4600 Nuckols Crossing # 2305,Austin,TX",30.1998019,-97.7349272,True,Cat,1.0,56.0
"4600 Nuckols Crossing,Austin,TX",30.1998019,-97.7349272,True,Cat,1.0,56.0
"11408 Liberty St,Travis,TX",30.3353534,-97.5635112,True,Dog,1.0,10.0
"3001 Colonial Pkwy,Austin,TX",30.529584,-97.783143,True,Cat,4.0,1.0
"6118 Fairway St,Austin,TX",30.2295189,-97.70241519999999,True,Dog,0.0,84.0
"4112 E 12Th St,Austin,TX",30.278932,-97.68872569999999,True,Dog,0.0,84.0
"8220 W Hwy 71,Austin,TX",30.2475893,-97.8863308,True,Cat,5.0,17.0
"4606 Senda Ln,Travis,TX",30.2384809,-97.5720748,True,Dog,0.0,14.0
"3401 Santa Fe Dr,Austin,TX",30.2190408,-97.7372331,True,Dog,4.0,68.0
"8820 W Hwy 71,Austin,TX",30.2519001,-97.8984473,True,Cat,3.0,12.0
"3201 Northeast Drive,Austin,TX",30.3096505,-97.6723909,True,Dog,2.0,60.0
"4500 Chiappero Trl,Austin,TX",30.3199671,-97.75097369999999,True,Cat,22.0,15.0
"13021 Dessau Rd,Austin,TX",30.4002262,-97.6404697,True,Dog,2.0,19.0
"12311 Deerfoot Trail,Austin,TX",30.1688903,-97.95306459999999,True,Cat,1.0,1.0
"1190 Airport Blvd,Austin,TX",30.2752176,-97.70104099999999,True,Cat,0.0,77.0
"2400 Mozelle,Travis,TX",30.1666451,-97.77255679999999,True,Dog,2.0,24.0
"11910 Hornsby St,Austin,TX",30.3882551,-97.6800115,True,Dog,2.0,25.0
"W N Loop Blvd,Austin,TX",30.3225892,-97.7325664,True,Cat,19.0,25.0
"4900 E Oltorf St,Austin,TX",30.2227206,-97.7217716,True,Cat,2.0,84.0
